materialnummer;bezeichnung
10938;Prägering V-HM 3€ + 20€ GLATT D33,95 PSS
10940;Spaleck Z33 Dichtung Viton
10941;Spaleck Z33 Teller Niro
10942;Spaleck Z33 Fettkartusche f-autom.
10943;Spaleck Z33 Kegelradgetriebemotor
10944;Spaleck Z33 Druckregelventil
10946;Spaleck Z33 Rückschlagventil
10947;Spaleck Z33 5/3-Wege-Ventil
10948;Spaleck Z33 5/3-Wege-Ventil
10949;Spaleck Z33 5/2 Wege-Ventil
10950;Spaleck Z33 Magnetspule
10951;Spaleck Z33 Ventilstecker
10952;Spaleck Z33 5/2-Wege-Ventil
10953;Spaleck Z33 Druckregelventil
10954;Spaleck Z33 Drosselrückschlagventil
10955;Spaleck Z33 Druckschalter
10956;Spaleck Z33 Wegaufnehmer
10957;Spaleck Z33 Membranventil DN25
10958;Spaleck Z33 Membranventil DN12
10959;Spaleck Z33 Strömungswächter
10960;Spaleck Z33 Strömungswächter
10961;Spaleck Z33 Durchflußmesser
10962;"Spaleck Z33 Magnetventile 1/2"""
10963;Spaleck Z33 Magnetventil schnelles
10964;Spaleck Z33 Magentventil Membranventil-
10965;Spaleck Z33 Dosierpumpe-Farbe Orange-
10966;Spaleck Z33 Niveauschalter
10967;Spaleck Z33 Lufterhitzer
10968;Spaleck Z33 Temparaturfühler
10970;Spaleck Z33 Hydraulikaggregat
10971;Spaleck Z33 Dosierpumpe E 75
10972;Spaleck Z33 Dosierpumpe E 260
10973;Spaleck Z33 Unwuchtmotor
10974;Spaleck Z33 Heizungsgebläse
10975;Spaleck Z33 Maschinen-Lagereinheit
10976;Spaleck Z33 Hydraulik - Schwenkmotor
10977;Spaleck Z33 Quetschventil Wasserniveau
10978;Spaleck Z33 Schlauchstück zum
10979;Spaleck Z33 Faltenbalg
10980;Spaleck Z33 Wasserkupplung
10982;Spaleck Z33 Stecknippel f.Wasserkupplung
10983;Spaleck Z33 Hydraulik-Zylinder
10984;Spaleck Z33 Positionsschalter
10985;Spaleck Z33 Magnetantrieb SFM33
10986;"Spaleck Z33 Membranpumpe 1/2""UK-Behälter"
10987;Spaleck Z33 Membranventil Säurebehälter
10988;Spaleck Z33 Unwuchtmoto VSM33
10989;Spaleck Z33 Behälter Oberteile PU
10990;Spaleck Z33 Wasserniveau - Kasten
10991;Spaleck Z33 Spaltdruck-Schlauch
10992;Spaleck Z33 Flanschlager Beschickung
10993;Spaleck Z33 Gummilager SFM33/VSM33
10994;Ronde Au900/Ag50/Cu50 8,64g Zukauf
10995;ALT!!!AVAYA Patchkabel CC/CAT5/7ft.
10996;ALT!!!Keram.Fasermatte ISOBLOCK
10997;EKW-STEEL KB 50 Feuerkitt
11014;Ronde Ag999 D25 10,47g HS
11018;ALT!!!Schneeschaufel /Alu 40 cm breit
11019;ALT!!!Reisstrohbesen 5-Naht extrastark
11020;Qatar/25Dirham CuNi D25  3,50g
11021;ALT!!! Toner für Xerox Pro 412 + M15i
11023;Umlaufunfähig 5€ Ag800
11024;Umlaufunfähig 10 € Ag925
11025;Umlaufunfähig 20 € Ag900
11026;Umlaufunfähig 25 € Ag900/Niob
11027;Umlaufunfähig 50€ Au986
11028;Umlaufunfähig 100€ Au986
11029;Julius Raab Med.-klein, Br. pat. 50mm
11030;Julius Raab Med.-gross Br.pat. 70mm
11031;Julius Raab Med. Au900 D34 14g
11033;Weihnachtsengerl mit Querflöte 2003
11034;Diamantfolie DF15/K100 mesh
11035;Diamantfolie DF15/K200 mesh
11037;Diamantfolie DF15/K1000 mesh
11038;Diamantfolie DF15/K2000 mesh
11039;Diamantfolie DF15/K300 mesh
11045;Ronde Ag925 D38,45 18g PP PF
11046;Klinik f.Dermat./Braun-Falco-Med.Br.
11055;Ronde Ag500 D32  6g PF
11056;Ronde Ag500  6g  ZUKAUF
11057;Späne Ag800,0
11059;Ronde Ag925 D38,65  28,8g ROH
11060;Ronde Ag925 D38,42  28,8g
11061;Erträge verbundene Unternehmen
11064;Natriumhydroxid chem.rein Plätzchen
11068;Erlöse aus Weiterverrechnung / Dritte 0%
11078;Ronde Au900/Ag50/Cu50 7,90g Zukauf
11081;Med. Palais Coburg  Au999,9  D22 1/4Oz
11112;Goldtauchbad, 1000ml
11119;Stahl  K460  40x15x500  ground flats
11120;IMM/Ö/Graz Kulturhauptstadt Ag999 D40 20
11121;Ronde Ag900 D36,85 22,2g SLG
11130;Ronde AG900 D37,05 22,2g ROH
11133;Ronde Ag925 D38,45 18g ROH
11135;ALT!!!Stahl K720,D28,5  IBO ECOMAX gegl.
11137;Mineralwasser 0,33 l pet
11139;Zain Au999,9  58x22x300 roh (ARGOR)
11141;Ronde 5 € HGH 9-eck  Ag800 10g ROHMÖAG
11142;Ronde 5 € HGH 9-eckig Ag800 10g PF
11143;20 Schilling-Banknote I Ag999 100g
11144;20 Schilling-Banknote II Ag999 100g
11148;Hart PVC-Folie 100 µm ohne Perforation
11151;ALT!! EPSON Druckerpatrone T007401
11152;ALT!! EPSON Druckerpatrone T009401
11155;Rücklauf Au977,85 Legierfehler
11159;Schriftbandkas.9mm/blau-schwarz
11160;ALT!!!Schriftbandkas.12mm/weiss-blau
11161;ALT!!!Schriftbandkas.12mm/grün-weiss
11162;ALT!!!Schriftbandkas.24mm/blau-weiß
11165;SEIKO Dia-Etiketten,weiss11x38mm,SLP-35L
11175;IMM/Ö/Schloß. Schönbrunn Ag999 D40 20g
11177;Ronde Ag999 D39,80 20g KP
11178;Mineralwasser 1l pet
11179;Ronde Au999,9 D49,80 155,5g
11186;Ronde Au999,9 D40 45g GST GGL
11190;Ronde Ag925 D36,75 24g PF
11191;100 EUR Jugendst. Secession  Au proof 04
11192;50 EUR Joseph Haydn Au proof 04
11193;25 EUR 150 J.Semmeringbahn AG/Niob 04
11194;20 EUR SMS Novara  Ag PP 04
11195;20 EUR SMS Erzherzog Ferd.Max Ag PP 04
11197;10 EUR Schloss Hellbrunn Ag NP 04
11200;10 EUR Schloss Hellbrunn Ag HGH 04
11202;10 EUR Schloss Hellbrunn Ag PP 04
11203;Ronde Au986,1 D36,85 14,0g GEW
11205;ALT!!!Kupplung-CEE-Vollg.5X32A 400V
11206;10 EUR Schloss Artstetten Ag NP 04
11207;10 EUR Schloss Artstetten Ag HGH 04
11208;10 EUR Schloss Artstetten Ag PP 04
11210;5 EUR 100 J. Fußball  Ag NP 04
11211;"5 EUR 100 J. Fußball ""AKTION"" Ag NP 04"
11212;5 EUR 100 J. Fußball  Ag HGH 04
11213;Kleinmünzensatz EURO HGH 2004
11214;Kleinmünzensatz EURO PP 2004
11218;Ronde Au999,9 D69,85 227,3g Zukauf
11246;Prägest. 5 EUR 100J.Fußball NP+HGH RV04
11248;Zertifikat 100EUR Au Wr.Jugendstil
11249;"Zertifikat 50EUR Au ""J. Haydn"""
11254;"Zertifikat 10EUR ""Schl.Hellbrunn"""
11255;"Zertifikat 10EUR ""Schl.Artstetten"""
11256;"Schuber Chromolux ""Wr.Secession"""
11262;"Schuber Telta ""Schloss Hellbrunn"""
11263;"Schuber Telta ""Schloss Artstetten"""
11264;"Folder 10EUR ""Schloss Hellbrunn"""
11265;"Folder 10EUR ""Schloss Artstetten"""
11274;25 EUR Semmeringbahn Ag Hgh EINGEDOS.
11285;Markterhebung Walding- Ag999 D40 30g
11296;WK Wien Miniatur Au750/170 D18 6g
11297;Stempel Kalendermed. mit Firmenlogo
11298;Ronde Au999,9, D69,85 227,3g
11299;ALT!!!Transfereinheit schwarz HP C4196 A
11308;1 EURO CENT  NP 2004
11309;2 EURO CENT  NP 2004
11310;5 EURO CENT  NP 2004
11311;10 EURO CENT  NP 2004
11312;20 EURO CENT  NP 2004
11313;50 EURO CENT  NP 2004
11314;1 EURO  NP 2004
11315;2 EURO  NP 2004
11320;Medaille Ag925 D37 24g 2seit.PP
11321;Fotogr.Gesells. 1876, Br.vergold. D53
11322;Fotogr.Gesells. 1876, Br.versilb. D53
11323;Fotogr.Gesellschaft 1876, Br.pat. D53
11324;Ronde Ag999 D80 s5  GEB GGL
11325;Ronde Cu D80 s5  GEB
11331;Kopierpapier A4, 160g, weiß
11339;Plastiktäschchen Grösse 85x110
11340;5 EUR EU-Erweiterung Ag NP 04
11342;5 EUR EU-Erweiterung Ag HGH 04
11343;5 EUR EU-Erweiterung im Doserl Ag HGH 04
11344;ALT!! Farbband Epson Nr.7753  f. LQ 300+
11355;Ronde Au900 D32,17 34,56g ROH (Zukauf)
11357;Logenpass/Zur Wahrheit 23x20,Ag999 m.Öse
11358;Logenpass/Zur Wahrheit Au750 23x20 m.Öse
11364;Doserl D28,60 - UT                     B
11365;Doserl D28,60 - OT                     B
11371;3ST Argor Prägestempel rund f. Serie
11372;Filtermedium  TP10M, 1x2mx10mm
11373;Arbeitshandschuhe Ansell Hyflex Foam 9
11374;Arbeitshandschuhe Ansell Hyflex Foam 10
11375;WK-Wien Ehrenmed. D70 Br., versilb.pat.
11380;Bleche MS90 0,2x60x800mm
11398;Etui D60 Eidechspapier blau
11399;ALT!!Farblaser Druckerpatr. C9720A black
11401;Faltkarton für Proof Set 2003
11402;Wellpappe - Faltkarton f.10 Euroset PP
11406;Bleche Au585/Ag260/Cu155
11408;ALT!! Farblaser Druckerpatr. C9721A cyan
11409;ALT!Farblaser Druckerpatr. C9722A yellow
11412;ALT!Farblaser Druckerpatr C9723A magenta
11413;Rücklauf Au585/Ag260
11414;Kalkmilch Type: VTA03FK 24%igeSuspension
11417;Shell Tellus Oil TD 46
11419;Franziska Fast Med.Ag925 27g
11420;Shell Tellus Oil S68
11428;Geburtsmedaille Ag999 pat. D40 30g
11429;Ronde Ag925  D38,02 28,28g GST GGL
11430;Ronde Ag925  D38,02 28,28g KP PF
11432;Reduction  for  Royal Mint
11433;Matrize   Royal Mint
11434;Punze   Royal Mint
11435;Ronde Ag925 D38,27  28,28g ROH
11438;Latvia 1 Lats-Ag900/Niob blau D34
11439;Ronde Ag925 D39,75 34,15g BP
11440;Ronde Ag925 D40 34,25g ROH
11444;Ring f.Casino-Jeton AlMg1 D35,80
11458;Coil Ag900 70x10mm -1 gefräst
11459;Ronde Ag925 D32,18 18g ROH
11460;Ronde Ag925 D27,62 9,75g KP
11462;Ronde AG925 D27,80  9,75g ROH
11463;Etui D63 grün mit Golddruck/Bregenz
11464;IMM/Ö/ Karlskirche Ag999 D40 20g
11465;IMM/Ö/ Wörthersee Ag999 D40 20g
11466;IMM/Ö/ Festung Riegersburg Ag999 D40 20g
11467;IMM/Ö/Kaiservilla B.Ischl  Ag999 D40 20g
11468;IMM/Ö/Krimmler Wasserfälle  Ag999 D40 20
11469;IMM/Ö/ Linz  Ag999 D40 20g
11470;IMM/Ö/ Mariazell  Ag999 D40 20g
11471;IMM/Ö/Tiroler Bauernhaus  Ag999 D40 20g
11473;HMA/Barren Bayern - Au+Nr  Ag999 1/2oz
11474;HMA/Barren Bayern - Ag+Nr Ag999 1/2oz
11475;HMA/Herausg.-Barren/Urspr.  Ag999 1/2oz
11487;ALT!!!ICP Standart Pd in HNO3
11488;ALT!!!ICP Standart Pt in HNO3
11493;ICP Standard Mehrelement IV in HNO3
11497;Zobl Sternzeichen Gold Au999,9 D30 20g
11498;ALT!!!Trommelmodul f. Xerox Pro 412+M15i
11512;Ronde Au917 D27 16,96g ZUKAUF ROH
11513;GM und Werkg.All Nations Ag999 mit Inlay
11514;Bleche Au585/Cu/Ni/Zk
11520;"ALT!!!Präzifionsflachstahl  ""K 110"""
11525;ALT!!!Ring f.Casino-Jet.Zuk.AlMg1 D37,60
11526;Irland/15 E 2009   Ag925 D38,61
11527;Ronde Ag925 D38,58(?) 28,28g PF
11528;Ronde Ag925 ROH Irland
11529;ALT!!!Ronde Ag999 15g Tampografie
11530;Coil Ag925 120x15mm -1 gefräst
11531;Ronde Weißgold D25 15,55g ROH
11536;Au 999,9 5g AHSA kine MUSTER
11538;Bleche MS90 0,6x100x800mm
11539;Shell Tonna S2 M 220
11540;D-Bundeswertpapierv.Au999,9 Nacharbeit
11548;Au 999,9 10g Tiger kine Muster
11561;Laos Gold Coin/1000Kip  Au999,9  D=13,92
11562;Laos/1000 Kip Silver Coin Ag925
11563;2 Barrenstempel Argor/Deutschl.+Schweiz
11568;Ronde Cu D40 45g S4
11569;Ronde Ag999 D40 53g S4
11570;Ronde Cu D40 45g S4  verg.
11572;Walzenprägung EH. Ferdinand II.
11574;Rücklauf Ag917,0  Legierfehler
11575;"Elektrolytkupfer Kathoden Grade A; BRX"
11576;Montanuni/Ehrenbürgermed. Br.vers.p. D65
11577;IMM/Ö/Stille Nacht Kapelle  Ag999 D40 20
11598;Ronde Ag925 D39,85 20g ROH ZUKAUF
11600;Compound D-670-U
11601;Compound F-450-B
11602;Diamantetui D38 schwarz f. Astro-Jetons
11603;Montanuni/Ehrensenatormed. Br.verg. D65
11612;Marine Wappen Messing
11614;Kleinmünzensatz EURO PP 2003 Internet
11648;Schleifen schwarz/grün 30mm 80cm
11651;ALT!!!Seifenkonzentrat CWS, Art. 5480
11660;Ronde Ag500 D29,65 14g GW
11667;Ronde AG500 D30,15  14g ROH
11669;Coil Ag500 77x15mm -1 gefräst
11674;Ronde 10 € Ag925 D32  17,3g PP ROH
11676;Fiji/10$ Matthew Flind. Ag925
11678;Bleche MS63
11679;Rücklauf MS63
11680;Ronde Ag900 D29,87 13,0 g SLG
11681;Ronde Ag900 D28,85 12,0g PF
11682;Rohling Gr.2/146 D40,8 K455
11684;Rohling Gr.2/146 D40,8 K340
11685;Rohling Gr.2/146 D40,8 K200
11686;Rohling Gr.3/151 D51,8 K200
11687;Rohling Gr.3/146 D51,8 K200
11688;ALT!!!Rond Ag900 13g D30 roh Zukauf
11689;ALT!!!Rond Ag900 12g D29 roh Zukauf
11690;ALT!!!Ronde Ag625 D20 6g ROH Zukauf
11692;Ronde Ag999 D30 22,2g  S3 GEB
11699;Rücklauf Aluminium
11703;Zain Ag986 70x15x450 ungefräst
11704;Zain Ag922 70x15x450 ungefräst
11708;IMM/Ö/Klagenfurt  Ag999 D40 20g
11709;IMM/Ö/Silvretta  Ag999 D40 20g
11710;IMM/Ö/ St. Pölten  Ag999 D40 20g
11711;IMM/Ö/ Schloss Esterhazy  Ag999 D40 20g
11718;ALT!!!6-fach Steckdose mit Zuleitung
11719;ALT!!!Leuchtstofflampen TLD 18/33
11723;"Sammeletui ""Komponisten"""
11725;Tabletts für Ronden u. Münzen/I:285x217
11726;Rücklauf Ag986,0
11727;Rücklauf Ag922,0
11728;ALT!!!Ronde Ag925 169,09g D72,9 roh Zuk.
11729;Grafit Kokillen 1-Band 70x15
11732;Ronde Ag999 D39,75 30g GST GW
11734;ALT!!!Wallets Marine/Erzherzog Friedrich
11735;ALT!!Wallets Marine/Tegeth.+Löwe v.Lissa
11750;ALT!!!Leuchtstofflampen TLD 18/33
11751;ALT!!!Stülpkarton (K12) 143x123x35/35mm
11756;Stülpkarton 1 Unze SILBER (Blister
11758;Etui f Med. D50 + Nadel D12 blau (GÖD)
11768;Markterhebung Walding Au999,9 D40 1oz
11771;ALT!! Fixiereinheit f. HP 4550, C4198 A
11772;Karton für Münztassen 305x260
11773;Ronde Ag999 D23,90 10g  GST KP HS
11776;Etui D40 + Nadel D15 rot/Ma.Enzersdorf
11786;NB Georgien/50 Tetris CuAlNi
11788;Unitas in Pluralitate Br.vered. D50
11791;Doserl D25 OT+UT (Einsatz =12251)      B
11792;Ronde Ag925  D39,57  27g BP
11794;Ronde Ag925 D39,57 27,0g GST/GGL
11795;Ronde Ag999 D24,90 6,2g GST KP HS
11801;Ronde Au900 D31,75 17,5g (ÖRK5)
11802;ALT!! Toner f.HP LaserJet 1300, Q2613A
11806;Kalendermedaille 2005 Ag900 D40
11807;Ronde Ag925  D38,02 28,57g GST GGL
11814;Weihnachtsengerl mit Harfe 2004
11815;Ronde Ag925 D38,27  28,57g ROH
11817;IMM/Ö/Bregenz  Ag999 D40 20g
11818;IMM/Ö/Semmeringbahn Ag999 D40 20g
11819;IMM/Ö/Salzburg  Ag999 D40 20g
11820;ALT!!Toner LaserJet 3700, Q2670A,schwarz
11821;ALT!!Toner HP LaserJet 3700, Q2681A,cyan
11822;ALT!!!Toner LaserJet 3700,Q2683A,magenta
11823;ALT!Toner fHP LaserJet 3700, Q2682A,gelb
11824;Coil Ag999 100x15mm -1 gefräst
11825;Ronde Ag999 D38,61 27,2g ROH
11826;Feingehaltspunzen f. kroat. Münze
11829;Doserl D50 OT /IMM-Beistellung         B
11830;Volksoper Au585/260 4g D20
11831;Ronde Ag925 D32,0 18,0g MAG KP
11834;Sammelkassette Österreich auf hoher See
11835;Thermo-Endlos-Etikette, Art.Nr.504144
11839;Ronde Ag925 D34,0 22,0 g MAG KP
11840;Ronde Ag925 D32,0 18,0g KP
11847;Schuber für Sammelkassette Komponisten
11849;Ronde Ag750 D33,85 20,0g KP
11850;Ronde Ag750 D33,85 20,0 g glanzgewalzt
11853;Ronde Ag925 D32,18 18g ROH
11854;Ronde Ag925 D34,20 22g ROH MAG
11859;ALT!!!Ronde Ag750 D34 20g ROH Zukauf
11860;Rücklauf Ag750
11863;Bank of Cyprus/Triton Cu75Ni25  D38,61
11868;ALT!!! Tintenpatrone HP 6657A - färbig
11869;ALT!!! Tintenpatrone HP 6656A - schwarz
11870;Dreieckband BM f.W+A  40mm m.Nadel
11871;Honeywell Raumtronic, HR40
11872;Adapter Herz/ Honeywell, HU02
11873;Ronde Ag900 D39,80 26g GST KP (HALB)
11875;Ronde Ag999 D39,80 40g GST KP
11877;Ronde Ag999 D24,80 10,5g GST GEW
11878;Ronde Au986 D24,80 20g GST GEB
11879;ALT!!!Zertifikat Cypern
11880;Ronde Ag999 D64,80 215g GEB
11881;Ronde Ag925 D39,85 20g GST ROH
11882;Ronde Au585/Ag415 D19,9 3,5g vergoldet
11884;Bleche Au585/Ag415 ALT!!!
11885;Rücklauf Au585/Ag415
11887;Ronde Ag925 D39,85 25g vergoldet
11889;Ronde Au999,9 D13,80 1,2443g GEW
11890;TU-Wien/Prechtl-Med. Ag999 D60 113 g
11894;Ronde Ag925 D33,24  16,82g ROH
11896;Ronde Ag925 D39,85 25g GST KP
11897;Blech Ag999 f.2kg Ronden ZUKAUF
11898;Coil Ag925 77x15mm -1 gefr.
11909;Nopaschaum-Zuschnitte 290x220x1,5mm
11913;ALT!! Latex-Fingerl. puderfr Med-Comf 4
11914;ALT!! Latex-Fingerl puderfr Med-Comf. 3
11915;Ronde Au900 D25,90 10,5g (ÖRK3)
11916;Ronde Ag925 D39,85 29g ROH
11917;Ronde Ag925 D39,85 34g ROH
11919;Ronde Au999,9 D13,8 1,2443g ROH
11920;NÖ-Hilfswerk Au585/260 D40
11921;IMM/Ö/Alphornbläser  Ag999 D40 20g
11922;IMM/Ö/Innsbruck  Ag999 D40 20g
11923;IMM/Ö/Kufstein  Ag999 D40 20g
11924;IMM/Ö/Lindwurmbrunnen  Ag999 D40 20g
11925;IMM/Ö/Wien  Ag999 D40 20g
11927;Ronde Ag999 D39,65 31,1g GST KP
11928;OeNB/Hermesplaketten Ag999
11929;Ronde Ag999 D39,85 31,1g ROH
11930;Flockungsmittel Poly - EA 20
11931;Doserl D50 UT/IMM-Beistellung          B
11932;Stanzwerkzeug
11933;Voigtländermedaille, Br.vergold. D60
11943;100 EUR Kirche am Steinhof  Au proof 05
11944;50 EUR Ludwig van Beethoven proof 05
11945;25 EUR 50 J. Fernsehen  AG/Niob 05
11946;20 EUR Polarexped. Tegetthoff Ag PP 05
11947;20 EUR SMS Sankt Georg Ag PP 05
11948;10 EUR  60 Jahre 2. Republik  Ag NP 05
11949;10 EUR  60 Jahre 2. Republik  Ag HGH 05
11950;10 EUR  60 Jahre 2. Republik  Ag PP 05
11951;10 EUR  Burg und Oper Ag NP 05
11952;10 EUR  Burg und Oper Ag HGH 05
11953;10 EUR  Burg und Oper Ag PP 05
11954;5 EUR 100 J. Skisport  Ag NP 05
11955;"5 EUR 100 J. Skisport ""AKTION"" Ag NP 05"
11956;5 EUR 100 J. Skisport  Ag HGH 05
11957;Kleinmünzensatz EURO HGH 2005
11958;Kleinmünzensatz EURO PP 2005
11959;1 EURO CENT  NP 2005
11960;2 EURO CENT  NP 2005
11961;5 EURO CENT  NP 2005
11962;10 EURO CENT  NP 2005
11963;20 EURO CENT  NP 2005
11964;50 EURO CENT  NP 2005
11965;1 EURO  NP 2005
11966;2 EURO  NP 2005     (Staatsvertrag)
11967;Holzetui Oenb 238x150x40
11970;Ronde Ag925 D38,35 20g MAG
11971;Ronde Ag999 D39,70 20g MAG
11973;Ronde Au999,9 D27,65 15,5 g MAG
11975;Elektroden mit Motiv 2x3ST
11978;5 EUR  Europahymne  Ag NP 05
11979;5 EUR Europahymne auf Tray Ag HGH 05
11980;5 EUR  Europahymne  Ag HGH 05
11981;Stahl  CALMAX  D70  gewalzt, gelüht
11982;Stahl  CALMAX  D80  gewalzt, gelüht
11985;Ronde Au916,6/Ag50 D35,65 31,3g
11987;Ronde Ag999 D40 51,8g S4 GEB
11988;Ronde Ag999 D55 123,5g s5
11989;Coil Ag900  85x15mm -1 gefräst
11990;Ronde Au916,6 D35,83 31,3g ZUKAUF ROH
11992;Rücklauf Au916,6/Ag50/Cu
11993;Ronde Ag999 D50 48g  KP f.IMM
11995;8erPlättchenf.IMM-PrägungAg999verg
11997;IMM/Ö/Burg Forchtenstein  Ag999 D40 20g
11998;IMM/Ö/Dachstein  Ag999 D40 20g
11999;IMM/Ö/Hallstätter See  Ag999 D40 20g
12000;IMM/Ö/Kornmesserhaus  Ag999 D40 20g
12001;IMM/Ö/Steyr  Ag999 D40 20g
12002;Nopaschaum-Zuschnitte 330x230x1mm
12003;ALT!! Latex-Fingerl, puderfr Med-Comf 5
12004;Pille 25 € Bimetall NIOB grün
12005;Druckstück unten 5 € GMP360TK
12006;Druckstück oben 5 € GMP360TK
12007;Spannmutter unten 5 € GMP 360 TK  PS/S
12008;Spannmutter oben 5 € GMP 360 TK  PS/S
12030;Euro Sammelkassette
12031;Späne Ag925,0
12032;Späne Ag900,0
12033;Späne Ag999,0
12034;Drehteller PS/N
12035;Pille 25 € Bimetall NIOB gestaucht
12036;Wallets KMS EURO HGH 2005
12037;WK-Tirol/ Verd. gew. Wirtschaft,D50 Br.
12038;ALT!!!Ronde Br D39,75  22g GST GEW
12039;Greifer 9-eck Ronde 5 € GMP360TK
12040;Greifer runde Ronde 5 € GMP360TK
12042;Ronde Ag900 D70 178g PF
12043;Zain Au917,0/Ag 83 60x10mm - 1 ROH
12045;Rücklauf Au917,0/Ag
12046;Karton f.20 Kartonetuis 50+100EUR ALT!!!
12049;Ronde Br D80 s4
12050;Ronde Br D59,7 s3
12059;"Zertifikat 10EUR ""60 J.2.Republik """
12060;"Schuber Telta ""60 Jahre2.Republik"""
12061;Zertifikat 100EUR Au Kirche Steinh.
12062;"Schuber Chromolux ""Ki.am Steinhof"""
12063;"Zertifikat 50EUR ""Ludw.v.Beethoven"""
12064;"Schuber Chromolux  ""Ludw.v. Beeth"""
12065;"Zertifikat 25 EUR ""50 J. Fernsehen"""
12066;"Schuber Chromolux""50 J. Fernsehen"""
12067;Coil Ag925 +3/-0 125x4mm  ZUKAUF
12068;ALT!!!Ronde Au917/Ag/CuD27 16,96gROH
12069;Zertifikat 20EUR P.Exped.Tegetth.
12071;"Zertifikat 20EUR ""SMS Sankt Georg"""
12072;"Schuber Chromolux""SMS Sankt Georg"""
12073;"Folder 10EURO HGH""60 J.2.Republik """
12074;"Folder 10EURO ""Wiedererö.Bundesth."""
12075;"Zertifikat 10EUR ""Wied.erö.Bundest"""
12076;"Schuber Telta ""Wiedererö.Bundesth"""
12082;"Folder 5EUR HGH ""Europahymne"""
12085;Hammerschlagstempel AV+RV 2D
12086;Zain Ag925,0 100x15 gefräst
12087;ALT!Toner Kopierer XEROX DC425 013R90125
12089;2 Paar Prägestempel für PSN
12098;Ronde Au900 D45 100g roh (Zukauf)
12104;25 EUR 50 J. Fernsehen  Ag Hgh EINGEDOS.
12106;20 EUR  Exp. Tegetthoff  Ag PP EINGEDOS.
12120;5 EUR   Europahymne   Ag HGH geprägt
12123;IMM/Ö/Benediktiner Stift  Ag999 D40 20g
12124;IMM/Ö/Burg Kreuzenstein  Ag999 D40 20g
12125;IMM/Ö/Eisenstadt  Ag999 D40 20g
12126;IMM/Ö/Schloß Grafenegg  Ag999 D40 20g
12127;IMM/Ö/Wolfgangsee  Ag999 D40 20g
12128;Ronde    1.000 Unzen Bullion roh  Zukauf
12129;Ronde 10 €-CENT vergoldet f. KLMS PP
12130;Ronde 20 €-CENT vergoldet f. KLMS PP
12131;Ronde 50 €-CENT vergoldet f. KLMS PP
12133;Raiffeisen-Portrait Au750/170  D30 31,5g
12134;Ronde Ag999 D34,10 16g ROH
12135;ALT!!!Toner fHP LaserJet 2300n Q2610A,sw
12137;ALT!!!Sperrholzkiste inkl. 4-Wege
12138;Pille 25 € Bimetall NIOB violett
12139;ALT!!!Elektrolytkupfer Stangenmaterial
12140;IMM/Ö/Burg Hochosterwitz Ag999 D40 20g
12141;IMM/Ö/Dürnstein / Donau  Ag999 D40 20g
12142;Späne Ag500,0
12143;Bijou Großloge v. Österr.  Br-vers. D55
12144;Wellpappe-Zuschnitte 305x150, 0 KT211E
12145;ALT!!!Luftpolsterfolie, 120cm/STD.UL
12147;GM und Werkzeug Großloge Ö. Bronze
12152;Post-it Index, farbig
12154;Druckstück unten 20 Cent GMP360TK
12155;Druckstück oben 20 Cent GMP360TK
12156;Druckstück unten für 35,5mm GMP360TK
12157;Druckstück oben für 35,5mm GMP360TK
12158;Druckstück unten für 31,0mm GMP360TK
12159;Druckstück oben für 31,0mm GMP360TK
12160;Etui D45 Eidechspapier grün
12162;Etui D60 Eidechspapier rot
12166;ALT!! Hängehefter 85421
12167;Münzmaterialhandel Ag999,0 TVK
12168;Münzmaterialhandel unedel div. Techn.VK
12169;ALT!!!Rücklaufmaterial 1 u.2 EURO def.
12172;Ronde Ag900 D40,85 30,0g PF
12173;Jugendstilplakette unedel
12174;Ronde Ag900 D41,00 30g ROH
12175;Ronde Au999,9 D25,85 15,56 GST KP
12176;Ronde Ag999 D49,85 50,0g GST KP
12177;Ronde Au999,9 D21,70 7,78g GST KP
12178;Ronde Au999,9 D27,70 15,56 g GST KP
12179;Sammelkassette für Jugendstilserie
12180;ICP Standard  Al Aluminium 1000mg/l
12181;ICP Standard Ag Silber
12182;ICP Standard Au
12183;ICP Standard Bi
12184;ICP Standard Cr
12185;ICP Standard  Cu Kupfer 1000mg/l
12186;ICP Standard Fe
12187;ICP Standard Ni Nickel 1.000 mg/l
12188;ICP Standard Pb
12189;ICP Standard Palladium Pd 1000 mg/l
12190;ICP Standard Platin Pt  1000 mg/l
12191;ICP Standard Silicium 1.000 mg/l
12192;ICP Standard Zinn Sn 1000mg/l
12193;ICP Standard Titan Ti 1000 mg/l
12199;Pesendorfer/Taufmedaille Ag925 pat. D40
12202;ALT!!!Flanell weiß b=200
12204;Wien ist anders-Schlüsselanh. Ag999 pat.
12205;Kalendermedaille 2006 Ag900 D40
12212;Weihnachtsanhänger/Krippe  2005
12214;Coil Ag925 135x2,068mm just
12215;Ronde Ag999 D33,85 16g KP
12216;Ronde Ag925 D19,85 7g GST KP HS
12217;XEROX X9 SRA3, 170g/m2, 003R97600
12219;"Ausschöpftiegel Nr. 4;  D=115mm"
12221;ICP Standard Schwefel
12222;Ronde Au999,9 D24,75 10,10g GST KP
12227;GM und Werkzeug Armenien Gandzasar
12233;GM und Werkzeug Armenien Au
12234;Holzetui D20 für 1-fach Dukaten
12235;Ronde Ag925 D39,60 33,63g glanzgewalzt
12236;Ronde Ag925 D39,60 33,63 g KP
